,Unnamed: 0.1,Unnamed: 0,manuscript_title,team,doi_pre,doi_pub,original_research,OpenAlex_ID,ListofAlexIds,ListofNames,ListofOrcids,Role,Team,FirstLastName,ReferencedWorks,NumReferencedWorks,NumInternalReferences,CitedByCount,CitedByInternal,CleanedTeam,TeamsThatCited,ReferencedTeams,IntReferences,ReferencedIndividuals,CleanedTeams,CleanedPeople,DateCreated
0,0,0.0,LRRK2 phosphorylation of Rab GTPases in Parkinson’s disease,Alessi,review,10.1002/1873-3468.14492,0.0,W4296162466,A5033452410,Suzanne R. Pfeffer,0000-0002-6462-984X,Co-PI,Team Alessi,Suzanne Pfeffer,"['W1976947622', 'W2086088826', 'W2128471322', 'W2136902941', 'W2151658919', 'W2253950023', 'W2480556520', 'W2749825835', 'W2768016303', 'W2770609313', 'W2770997070', 'W2771688344', 'W2795590254', 'W2898194351', 'W2899593101', 'W2913985590', 'W2969456175', 'W2976101375', 'W2980851597', 'W2982613077', 'W3004019902', 'W3004823952', 'W3039492798', 'W3083406432', 'W3084330588', 'W3095796072', 'W3113414713', 'W3134340593', 'W3136294075', 'W3136908976', 'W3177828909', 'W3200061718', 'W3204672542', 'W3205174301', 'W4220919142', 'W4280496699', 'W4280631615', 'W4281653479', 'W4282036305']",39,2,47.0,8.0,['Team Alessi'],"['Team Hurley', 'Team Alessi', 'Team De Camilli']",['Team Alessi'],"['W3204672542', 'W3205174301']","['Dario Alessi', 'Suzanne Pfeffer']",['Team Alessi'],['Suzanne Pfeffer'],2022-09-18
1,2,2.0,PTEN-induced kinase 1 (PINK1) and Parkin: Unlocking a mitochondrial quality control pathway linked to Parkinson's disease,Alessi,review,10.1016/j.conb.2021.09.005,0.0,W3209929601,A5084528692,Miratul M. K. Muqit,0000-0001-9733-2404,Co-PI,Team Alessi,Miratul Muqit,"['W1518704304', 'W1770535374', 'W1877873625', 'W1941635000', 'W1962054249', 'W1975667080', 'W1983470920', 'W1996625702', 'W2004908477', 'W2019443416', 'W2024891592', 'W2026540198', 'W2058065156', 'W2060989636', 'W2072891641', 'W2088962120', 'W2092943609', 'W2095348121', 'W2095767025', 'W2102694693', 'W2103230459', 'W2106415502', 'W2108900682', 'W2113440807', 'W2118479885', 'W2129698492', 'W2132357771', 'W2136388422', 'W2149200223', 'W2160330769', 'W2171213306', 'W2323582440', 'W2469928790', 'W2483129460', 'W2522255615', 'W2551880155', 'W2762833467', 'W2765666584', 'W2783409125', 'W2785105763', 'W2787965853', 'W2788924848', 'W2796906206', 'W2805711807', 'W2810603360', 'W2810701500', 'W2884912010', 'W2887997888', 'W2896325492', 'W2906201488', 'W2914833293', 'W2922182434', 'W2944494413', 'W2961254431', 'W2968833147', 'W2972937106', 'W2999206621', 'W3009651870', 'W3009966546', 'W3091777431', 'W3133502202', 'W3142374158', 'W3150444043', 'W3153643350', 'W3164332178', 'W4206481149']",66,1,73.0,1.0,['Team Alessi'],"['Team Harper', 'Team Reck-Peterson', 'Team Alessi']",['Team Hurley'],['W3153643350'],['James Hurley'],['Team Alessi'],['Miratul Muqit'],2021-11-08
2,6,6.0,Isotope tracing in health and disease,Alessi,review,10.1016/j.copbio.2022.102739,0.0,W4283208018,A5045437960,Monther Abu-Remaileh,0000-0003-3772-0477,Co-PI,Team Alessi,Monther Abu-Remaileh,"['W1973045246', 'W1989249456', 'W1993692534', 'W2028743750', 'W2031022790', 'W2033798450', 'W2041729369', 'W2075623551', 'W2091282042', 'W2116516144', 'W2130784515', 'W2159128106', 'W2167725120', 'W2234115940', 'W2258066491', 'W2264411128', 'W2335463741', 'W2345381093', 'W2395626624', 'W2481128600', 'W2516006356', 'W2517861725', 'W2560441588', 'W2586265133', 'W2587669746', 'W2591756301', 'W2604353006', 'W2609511098', 'W2698350175', 'W2766243612', 'W2767546077', 'W2770089211', 'W2780696598', 'W2796927648', 'W2801170851', 'W2802818151', 'W2810290765', 'W2888708599', 'W2893545511', 'W2895956914', 'W2899243179', 'W2905303420', 'W2946373463', 'W2950983102', 'W2973419119', 'W2979668267', 'W2985764787', 'W2986055752', 'W2991309876', 'W2998864350', 'W3013936205', 'W3022881030', 'W3024990779', 'W3040562565', 'W3048569636', 'W3081275109', 'W3123719885', 'W3124009158', 'W3129508272', 'W3148232362', 'W3163204175', 'W3174306026', 'W3179084948', 'W3186420785', 'W3193238108', 'W3199989028', 'W3202303826', 'W3205872415', 'W3207830422', 'W3214106005', 'W3217304732', 'W4220700063', 'W4220813238', 'W4223900539', 'W4224289696']",75,0,17.0,1.0,['Team Alessi'],['Team Alessi'],[],[],[],['Team Alessi'],['Monther Abu-Remaileh'],2022-06-22
3,9,9.0,Whole proteome copy number dataset in primary mouse cortical neurons,Alessi,none? review,10.1016/j.dib.2023.109336,0.0,W4381848193,A5084528692,Miratul M. K. Muqit,0000-0001-9733-2404,Co-PI,Team Alessi,Miratul Muqit,"['W1998087666', 'W2062859898', 'W2113071946', 'W2147290689', 'W2152983548', 'W2463195069', 'W2568182039', 'W2607310450', 'W2914482125', 'W2971922425', 'W2986932567', 'W3106539179', 'W3111413289', 'W3113414713', 'W3122039288', 'W3133571965', 'W3213349298', 'W4223591189']",18,1,3.0,0.0,['Team Alessi'],[],['Team Alessi'],['W3213349298'],['Miratul Muqit'],['Team Alessi'],['Miratul Muqit'],2023-06-25
4,13,13.0,Role of autophagy pathway in Parkinson’s disease and related Genetic Neurological disorders,Alessi,review,10.1016/j.jmb.2023.168144,0.0,W4376272271,A5084528692,Miratul M. K. Muqit,0000-0001-9733-2404,Co-PI,Team Alessi,Miratul Muqit,"['W1156694323', 'W1527671059', 'W1637321639', 'W1698967089', 'W1770535374', 'W1840395037', 'W1875936957', 'W1877873625', 'W1893585873', 'W1907485558', 'W1918329266', 'W1941635000', 'W1962054249', 'W1964057486', 'W1964257510', 'W1965641455', 'W1970506744', 'W1972848443', 'W1977352903', 'W1979562942', 'W1981224101', 'W1981648285', 'W1983044117', 'W1983315832', 'W1984538960', 'W1985482115', 'W1985484942', 'W1987155530', 'W1990294498', 'W1990781184', 'W1991383643', 'W1992947862', 'W1994200517', 'W1995700909', 'W1996152690', 'W1996625702', 'W1999211990', 'W1999477136', 'W2002288000', 'W2004908477', 'W2006232414', 'W2007505836', 'W2008886854', 'W2009165358', 'W2010050523', 'W2011124366', 'W2013544053', 'W2014918593', 'W2015220624', 'W2019443416', 'W2022964430', 'W2026531845', 'W2027096397', 'W2035244376', 'W2036281288', 'W2039454492', 'W2040157483', 'W2044621729', 'W2046691445', 'W2047144539', 'W2047565527', 'W2048813950', 'W2048984899', 'W2051362437', 'W2051698507', 'W2052889619', 'W2053282493', 'W2055029031', 'W2055632128', 'W2055654995', 'W2056363797', 'W2057801189', 'W2058065156', 'W2058094550', 'W2059557215', 'W2061330513', 'W2062171503', 'W2062531561', 'W2063127941', 'W2063690790', 'W2065853786', 'W2066002405', 'W2066123826', 'W2068288454', 'W2069519643', 'W2072744924', 'W2072891641', 'W2072981065', 'W2075707505', 'W2076425088', 'W2076743021', 'W2077409117', 'W2077993415', 'W2081106067', 'W2087291014', 'W2087360216', 'W2088483634', 'W2092101573', 'W2093376914', 'W2095348121', 'W2095767025', 'W2096216483', 'W2096494569', 'W2098561880', 'W2100300726', 'W2102327538', 'W2103230459', 'W2104382960', 'W2105838740', 'W2106195012', 'W2106415502', 'W2106444069', 'W2106565509', 'W2107227860', 'W2108326484', 'W2108900682', 'W2113190139', 'W2116883703', 'W2119582096', 'W2122556106', 'W2123431154', 'W2125123150', 'W2126549314', 'W2127440157', 'W2127546245', 'W2128071987', 'W2128573741', 'W2135592618', 'W2138311396', 'W2138795497', 'W2139369185', 'W2140679396', 'W2140915719', 'W2142047537', 'W2142545021', 'W2143161560', 'W2145697686', 'W2146124002', 'W2147078172', 'W2148396143', 'W2149200223', 'W2150098266', 'W2150523249', 'W2150656456', 'W2151616372', 'W2152874097', 'W2154993563', 'W2155015733', 'W2156171182', 'W2158698427', 'W2160330769', 'W2164945122', 'W2165349828', 'W2181193101', 'W2201901179', 'W2289625033', 'W2292412857', 'W2323582440', 'W2336528486', 'W2337142316', 'W2339865699', 'W2406553940', 'W2414800819', 'W2436921689', 'W2467513012', 'W2469928790', 'W2507716909', 'W2511744821', 'W2514327877', 'W2519360406', 'W2525950393', 'W2532244501', 'W2538297977', 'W2555734739', 'W2560394908', 'W2562998505', 'W2604819250', 'W2625879429', 'W2752326209', 'W2754967293', 'W2755375800', 'W2757317176', 'W2766025148', 'W2771146782', 'W2778591996', 'W2782592927', 'W2783409125', 'W2799755181', 'W2802593879', 'W2804617061', 'W2805711807', 'W2807910244', 'W2810701500', 'W2892058170', 'W2900084247', 'W2900435357', 'W2907286815', 'W2910996474', 'W2912641855', 'W2914833293', 'W2915164054', 'W2934652181', 'W2935782889', 'W2937118846', 'W2938862235', 'W2939687187', 'W2940118858', 'W2940394744', 'W2943058638', 'W2953014442', 'W2967392900', 'W2969723332', 'W2986932567', 'W2999206621', 'W3004823952', 'W3013920823', 'W3015315508', 'W3018787070', 'W3022527720', 'W3033615903', 'W3033897588', 'W3042070552', 'W3080457712', 'W3092966039', 'W3097055298', 'W3103001608', 'W3132021332', 'W3135116035', 'W3136908976', 'W3155179480', 'W3164735937', 'W3177833270', 'W3187544615', 'W3208596612', 'W3213349298', 'W4200426070', 'W4200469626', 'W4206131125', 'W4220778713', 'W4225289119', 'W4281676048', 'W4282565179', 'W4283389428', 'W4290803974', 'W4293581901', 'W4295346352', 'W4296099065', 'W4297810615', 'W4307979290', 'W4311843441', 'W4318773461', 'W4320893931', 'W853095808']",253,3,32.0,1.0,['Team Alessi'],['Team Hurley'],"['Team Alessi', 'Team Wood']","['W3213349298', 'W4290803974', 'W4293581901']","['Miratul Muqit', 'Dario Alessi', 'Sonia Gandhi']",['Team Alessi'],['Miratul Muqit'],2023-05-13
5,22,22.0,Impact of 100 LRRK2 variants linked to Parkinson's disease on kinase activity and microtubule binding,Alessi,10.1101/2022.04.01.486724,10.1042/BCJ20220161,1.0,W4290803974,A5054181982,Dario R. Alessi,0000-0002-2140-9185,Lead-PI,Team Alessi,Dario Alessi,"['W1564467880', 'W1967900265', 'W1972097907', 'W1977283973', 'W1977391806', 'W1979460584', 'W2004536040', 'W2025949276', 'W2046398127', 'W2051978340', 'W2063127941', 'W2086072858', 'W2099111846', 'W2100300726', 'W2103739667', 'W2120262230', 'W2127068865', 'W2133869385', 'W2134541041', 'W2167552109', 'W2253950023', 'W2272666074', 'W2321209857', 'W2325989705', 'W2376573086', 'W2521967673', 'W2609407882', 'W2767998367', 'W2768016303', 'W2770997070', 'W2771688344', 'W2774127993', 'W2782592927', 'W2795590254', 'W2899593101', 'W2901203581', 'W2910972593', 'W2936990364', 'W2960012086', 'W2976101375', 'W2982613077', 'W3001241789', 'W3004019902', 'W3004823952', 'W3004855290', 'W3006593399', 'W3029661147', 'W3048909661', 'W3068292362', 'W3092460711', 'W3098923693', 'W3113414713', 'W3118577024', 'W3123326768', 'W3127263423', 'W3134999369', 'W3136294075', 'W3165747523', 'W3166052330', 'W3171048111', 'W3177828909', 'W3196071261', 'W3200383688', 'W4210469550', 'W4210963704', 'W4213439607', 'W4214648160', 'W4296793671', 'W4311901922']",69,3,93.0,9.0,['Team Alessi'],"['Team Reck-Peterson', 'Team De Camilli', 'Team Hurley', 'Team Alessi', 'Team Calakos', 'Team Hardy']","['Team Reck-Peterson', 'Team Alessi']","['W3196071261', 'W4296793671', 'W4311901922']","['Samara Reck‐Peterson', 'Suzanne Pfeffer']",['Team Alessi'],['Dario Alessi'],2022-08-12
6,32,32.0,"PKC isoforms activate LRRK1 kinase by phosphorylating conserved residues (Ser1064, Ser1074 and Thr1075) within the CORB GTPase domain",Alessi,10.1101/2022.06.09.495448,10.1042/BCJ20220308,1.0,W4293567400,A5013336817,Stefan Knapp,0000-0001-5995-6494,Co-PI,Team Reck-Peterson,Stefan Knapp,"['W1930201122', 'W1964211866', 'W1970174659', 'W1981880855', 'W1990026949', 'W1999056400', 'W2010161321', 'W2012051875', 'W2020811387', 'W2036609707', 'W2037006420', 'W2041797033', 'W2046525768', 'W2063690790', 'W2080115585', 'W2080752012', 'W2081598827', 'W2100246616', 'W2100300726', 'W2104969843', 'W2109283410', 'W2119192228', 'W2129742695', 'W2146989813', 'W2156786194', 'W2160378127', 'W2176744910', 'W2245778979', 'W2253950023', 'W2376573086', 'W2552674950', 'W2606690009', 'W2743613427', 'W2767998367', 'W2768016303', 'W2770997070', 'W2771688344', 'W2802214895', 'W2899600207', 'W2946762419', 'W2980851597', 'W3004019902', 'W3040983129', 'W3084330588', 'W3095796072', 'W3098923693', 'W3113414713', 'W3125287040', 'W3136294075', 'W3155843818', 'W3177828909', 'W3208691473', 'W4207045911', 'W4213439607', 'W4280496699', 'W4280631615', 'W4296793671', 'W4311901922', 'W4387747103']",59,2,8.0,1.0,"['Team Alessi', 'Team Reck-Peterson']",['Team Reck-Peterson'],"['Team Alessi', 'Team Reck-Peterson']","['W4296793671', 'W4311901922']","['Suzanne Pfeffer', 'Samara Reck‐Peterson']","['Team Reck-Peterson', 'Team Alessi']","['Stefan Knapp', 'Dario Alessi']",2022-08-30
7,33,33.0,"PKC isoforms activate LRRK1 kinase by phosphorylating conserved residues (Ser1064, Ser1074 and Thr1075) within the CORB GTPase domain",Alessi,10.1101/2022.06.09.495448,10.1042/BCJ20220308,1.0,W4293567400,A5054181982,Dario R. Alessi,0000-0002-2140-9185,Lead-PI,Team Alessi,Dario Alessi,"['W1930201122', 'W1964211866', 'W1970174659', 'W1981880855', 'W1990026949', 'W1999056400', 'W2010161321', 'W2012051875', 'W2020811387', 'W2036609707', 'W2037006420', 'W2041797033', 'W2046525768', 'W2063690790', 'W2080115585', 'W2080752012', 'W2081598827', 'W2100246616', 'W2100300726', 'W2104969843', 'W2109283410', 'W2119192228', 'W2129742695', 'W2146989813', 'W2156786194', 'W2160378127', 'W2176744910', 'W2245778979', 'W2253950023', 'W2376573086', 'W2552674950', 'W2606690009', 'W2743613427', 'W2767998367', 'W2768016303', 'W2770997070', 'W2771688344', 'W2802214895', 'W2899600207', 'W2946762419', 'W2980851597', 'W3004019902', 'W3040983129', 'W3084330588', 'W3095796072', 'W3098923693', 'W3113414713', 'W3125287040', 'W3136294075', 'W3155843818', 'W3177828909', 'W3208691473', 'W4207045911', 'W4213439607', 'W4280496699', 'W4280631615', 'W4296793671', 'W4311901922', 'W4387747103']",59,2,8.0,1.0,"['Team Alessi', 'Team Reck-Peterson']",['Team Reck-Peterson'],"['Team Alessi', 'Team Reck-Peterson']","['W4296793671', 'W4311901922']","['Suzanne Pfeffer', 'Samara Reck‐Peterson']","['Team Reck-Peterson', 'Team Alessi']","['Stefan Knapp', 'Dario Alessi']",2022-08-30
8,43,43.0,"Golgi-IP, a novel tool for multimodal analysis of Golgi molecular content",Alessi,10.1101/2022.11.22.517583,10.1073/pnas.2219953120,1.0,W4375956084,A5054181982,Dario R. Alessi,0000-0002-2140-9185,Lead-PI,Team Alessi,Dario Alessi,"['W1532977964', 'W1539793245', 'W1857762931', 'W1947662605', 'W1988484495', 'W2015279698', 'W2016871586', 'W2024724647', 'W2031022790', 'W2032752068', 'W2038170158', 'W2040328099', 'W2048165620', 'W2051102111', 'W2057158848', 'W2065274800', 'W2066207556', 'W2070817140', 'W2085997090', 'W2094706331', 'W2102685119', 'W2107312415', 'W2108435368', 'W2115746733', 'W2125872855', 'W2129927698', 'W2130819897', 'W2152528438', 'W2155837155', 'W2156721238', 'W2157098888', 'W2419532700', 'W2517861725', 'W2613379442', 'W2613629789', 'W2617667835', 'W2758922213', 'W2766243612', 'W2767546077', 'W2883286270', 'W2889921316', 'W2896199073', 'W2903204105', 'W2909149114', 'W2942754201', 'W2963050688', 'W2972857012', 'W2982613077', 'W2984856081', 'W2990088513', 'W3022881030', 'W3081275109', 'W3089334213', 'W3127552187', 'W3135954869', 'W3213343719', 'W4200084899', 'W4205192056', 'W4206950245', 'W4221117452', 'W4224865637', 'W4241534679', 'W4283208018', 'W4296699785', 'W4306353218', 'W4306938366', 'W4309797038']",67,2,39.0,2.0,['Team Alessi'],['Team Alessi'],"['Team Alessi', 'Team Harper']","['W4283208018', 'W4306353218']","['Monther Abu-Remaileh', 'J. Harper']",['Team Alessi'],"['Dario Alessi', 'Monther Abu-Remaileh']",2023-05-10
9,44,44.0,"Golgi-IP, a novel tool for multimodal analysis of Golgi molecular content",Alessi,10.1101/2022.11.22.517583,10.1073/pnas.2219953120,1.0,W4375956084,A5045437960,Monther Abu-Remaileh,0000-0003-3772-0477,Co-PI,Team Alessi,Monther Abu-Remaileh,"['W1532977964', 'W1539793245', 'W1857762931', 'W1947662605', 'W1988484495', 'W2015279698', 'W2016871586', 'W2024724647', 'W2031022790', 'W2032752068', 'W2038170158', 'W2040328099', 'W2048165620', 'W2051102111', 'W2057158848', 'W2065274800', 'W2066207556', 'W2070817140', 'W2085997090', 'W2094706331', 'W2102685119', 'W2107312415', 'W2108435368', 'W2115746733', 'W2125872855', 'W2129927698', 'W2130819897', 'W2152528438', 'W2155837155', 'W2156721238', 'W2157098888', 'W2419532700', 'W2517861725', 'W2613379442', 'W2613629789', 'W2617667835', 'W2758922213', 'W2766243612', 'W2767546077', 'W2883286270', 'W2889921316', 'W2896199073', 'W2903204105', 'W2909149114', 'W2942754201', 'W2963050688', 'W2972857012', 'W2982613077', 'W2984856081', 'W2990088513', 'W3022881030', 'W3081275109', 'W3089334213', 'W3127552187', 'W3135954869', 'W3213343719', 'W4200084899', 'W4205192056', 'W4206950245', 'W4221117452', 'W4224865637', 'W4241534679', 'W4283208018', 'W4296699785', 'W4306353218', 'W4306938366', 'W4309797038']",67,2,39.0,2.0,['Team Alessi'],['Team Alessi'],"['Team Alessi', 'Team Harper']","['W4283208018', 'W4306353218']","['Monther Abu-Remaileh', 'J. Harper']",['Team Alessi'],"['Dario Alessi', 'Monther Abu-Remaileh']",2023-05-10
