Unnamed: 0,Title,team,doi_pre,doi_pub,date_added_preprint,date_added_publication,source_preprint,source_publication,original,notes,Preprint in SF tracker,publication in SF tracker,apc_amount,apc_status,OpenAlex_ID,PersonOpenAlex_ID,PersonName,PersonOrcid,Role,Team,IsCorrespondingAuthor,ReferencedWorks,NumInternalReferences,CitedByCount,CitedByInternal,CleanedTeam,TeamsThatCited,ReferencedTeams,IntReferences,ReferencedIndividuals,CleanedTeams,SubFieldIdC5Rank,SubFieldId,DateCreated,PublicationDate
0,"Three-step docking by WIPI2, ATG16L1 and ATG3 delivers LC3 to the phagophore",Hurley,10.1101/2023.07.17.549391,10.1126/sciadv.adj8027,before_doi_tracker,2024-02-07 00:00:00,before_doi_tracker,other(email to DS),1,,1.0,1,4500.0,Paid,W4391629214,A5028861095,['Shanlin Rao'],0000-0003-4892-5523,,[],No,"['W2959411532', 'W2785105763', 'W4307366279', 'W2082425146', 'W3198853168', 'W1555054913', 'W1977767269', 'W2156356581', 'W2533025094', 'W2555734739', 'W2590813565', 'W3096018906', 'W2038637280', 'W2967262750', 'W1965619318', 'W1992659717', 'W3153643350', 'W3196608509', 'W2149771125', 'W1526993239', 'W2052237492', 'W2018302034', 'W2560000662', 'W4311441084', 'W2913719405', 'W4322726840', 'W2024645073', 'W2747118545', 'W2116441099', 'W3046776887', 'W3089027488', 'W3177828909', 'W3202105508', 'W4386497723', 'W2022592000', 'W4367179325', 'W2138418865', 'W3097900088', 'W1989165480', 'W2050113854', 'W2917410623', 'W3026901962', 'W2089689183', 'W2091417605', 'W4381798611', 'W1967413008', 'W2040157483', 'W2168287537', 'W2077163063', 'W1993646391', 'W3157582528', 'W2037499922', 'W1993902882', 'W4383336952', 'W3125194856', 'W2051720995', 'W2109739184', 'W2804822363', 'W1974719543', 'W2963436022', 'W2021520922', 'W2206954826', 'W2043270577', 'W2330799739', 'W1031578623', 'W2555870966', 'W2327174080', 'W2056672534', 'W3197665808', 'W2057477511', 'W2081693079', 'W2067174909', 'W2035687084', 'W2128572087', 'W2170711116', 'W2510475640', 'W4290648385', 'W2065031087', 'W2743254891', 'W2009553459']",3,27,18,[],['Hurley'],['Hurley'],"['W3153643350', 'W3196608509', 'W4311441084']",['James Hurley'],['Hurley'],0.9678975346943662,0.0,2025-10-10,2024-02-07
0,"Three-step docking by WIPI2, ATG16L1 and ATG3 delivers LC3 to the phagophore",Hurley,10.1101/2023.07.17.549391,10.1126/sciadv.adj8027,before_doi_tracker,2024-02-07 00:00:00,before_doi_tracker,other(email to DS),1,,1.0,1,4500.0,Paid,W4391629214,A5028861095,['Shanlin Rao'],0000-0003-4892-5523,,[],No,"['W2959411532', 'W2785105763', 'W4307366279', 'W2082425146', 'W3198853168', 'W1555054913', 'W1977767269', 'W2156356581', 'W2533025094', 'W2555734739', 'W2590813565', 'W3096018906', 'W2038637280', 'W2967262750', 'W1965619318', 'W1992659717', 'W3153643350', 'W3196608509', 'W2149771125', 'W1526993239', 'W2052237492', 'W2018302034', 'W2560000662', 'W4311441084', 'W2913719405', 'W4322726840', 'W2024645073', 'W2747118545', 'W2116441099', 'W3046776887', 'W3089027488', 'W3177828909', 'W3202105508', 'W4386497723', 'W2022592000', 'W4367179325', 'W2138418865', 'W3097900088', 'W1989165480', 'W2050113854', 'W2917410623', 'W3026901962', 'W2089689183', 'W2091417605', 'W4381798611', 'W1967413008', 'W2040157483', 'W2168287537', 'W2077163063', 'W1993646391', 'W3157582528', 'W2037499922', 'W1993902882', 'W4383336952', 'W3125194856', 'W2051720995', 'W2109739184', 'W2804822363', 'W1974719543', 'W2963436022', 'W2021520922', 'W2206954826', 'W2043270577', 'W2330799739', 'W1031578623', 'W2555870966', 'W2327174080', 'W2056672534', 'W3197665808', 'W2057477511', 'W2081693079', 'W2067174909', 'W2035687084', 'W2128572087', 'W2170711116', 'W2510475640', 'W4290648385', 'W2065031087', 'W2743254891', 'W2009553459']",3,27,18,[],['Hurley'],['Hurley'],"['W3153643350', 'W3196608509', 'W4311441084']",['James Hurley'],['Hurley'],0.9678852777084648,0.0,2025-10-10,2024-02-07
0,"Three-step docking by WIPI2, ATG16L1 and ATG3 delivers LC3 to the phagophore",Hurley,10.1101/2023.07.17.549391,10.1126/sciadv.adj8027,before_doi_tracker,2024-02-07 00:00:00,before_doi_tracker,other(email to DS),1,,1.0,1,4500.0,Paid,W4391629214,A5028861095,['Shanlin Rao'],0000-0003-4892-5523,,[],No,"['W2959411532', 'W2785105763', 'W4307366279', 'W2082425146', 'W3198853168', 'W1555054913', 'W1977767269', 'W2156356581', 'W2533025094', 'W2555734739', 'W2590813565', 'W3096018906', 'W2038637280', 'W2967262750', 'W1965619318', 'W1992659717', 'W3153643350', 'W3196608509', 'W2149771125', 'W1526993239', 'W2052237492', 'W2018302034', 'W2560000662', 'W4311441084', 'W2913719405', 'W4322726840', 'W2024645073', 'W2747118545', 'W2116441099', 'W3046776887', 'W3089027488', 'W3177828909', 'W3202105508', 'W4386497723', 'W2022592000', 'W4367179325', 'W2138418865', 'W3097900088', 'W1989165480', 'W2050113854', 'W2917410623', 'W3026901962', 'W2089689183', 'W2091417605', 'W4381798611', 'W1967413008', 'W2040157483', 'W2168287537', 'W2077163063', 'W1993646391', 'W3157582528', 'W2037499922', 'W1993902882', 'W4383336952', 'W3125194856', 'W2051720995', 'W2109739184', 'W2804822363', 'W1974719543', 'W2963436022', 'W2021520922', 'W2206954826', 'W2043270577', 'W2330799739', 'W1031578623', 'W2555870966', 'W2327174080', 'W2056672534', 'W3197665808', 'W2057477511', 'W2081693079', 'W2067174909', 'W2035687084', 'W2128572087', 'W2170711116', 'W2510475640', 'W4290648385', 'W2065031087', 'W2743254891', 'W2009553459']",3,27,18,[],['Hurley'],['Hurley'],"['W3153643350', 'W3196608509', 'W4311441084']",['James Hurley'],['Hurley'],0.9678868904697676,0.0,2025-10-10,2024-02-07
7,Multi-ancestry genome-wide meta-analysis in Parkinson’s disease,GP2,10.1101/2022.08.04.22278432,10.1038/s41588-023-01584-8,before_doi_tracker,2024-02-07 00:00:00,before_doi_tracker,other(gp2_blog),1,,1.0,1,,,W4390345401,A5031512056,['Jonggeol Kim'],0000-0003-0738-0512,,[],Yes,"['W2986932567', 'W3017227862', 'W3105175400', 'W3036695163', 'W3125233482', 'W2153860431', 'W2783602503', 'W2563292470', 'W3005296461', 'W2990224897', 'W3026380245', 'W2955664250', 'W2770092353', 'W2962979703', 'W2051314902', 'W2010457001', 'W6653110446', 'W2885927965', 'W2528543174', 'W4205209112', 'W2788609121', 'W1974879832', 'W2171815113', 'W3098923693', 'W2913803346', 'W2128471322', 'W4230406657', 'W4237892712', 'W2145271343', 'W2963869303', 'W3134340593', 'W4305014652', 'W6846002030', 'W2049306367', 'W2158606007', 'W3034524586', 'W6779334113', 'W4220709904', 'W3082353906', 'W7075679192', 'W2095499628', 'W2139647754', 'W2140126911', 'W2413234541', 'W2174572513', 'W2101071606', 'W1844405070', 'W3007352713', 'W1984068087', 'W2943309532', 'W4321611595', 'W2886367104', 'W3197364483', 'W2949437525', 'W6741594988', 'W3123744360', 'W3048245060', 'W2805983714', 'W2754278602', 'W6931433902', 'W4206959720', 'W4226073622']",0,178,374,[],"['Wood', 'Hardy', 'Sulzer', 'Harper', 'Voet', 'De Camilli', 'Hafler', 'Alessi']",[],[],[],[],,,2025-10-10,2023-12-28
29,3D Bioprinting of Human Neural Tissues with Functional Connectivity | bioRxiv,Scherzer,10.1101/2024.01.18.576289,10.1016/j.stem.2023.12.009,before_doi_tracker,2024-02-09 00:00:00,before_doi_tracker,google_alert,1,,1.0,1,,,W4391450102,A5067787152,['Yuanwei Yan'],,,[],No,"['W2735004254', 'W2897058286', 'W2593787260', 'W2126231259', 'W2765609903', 'W2088422474', 'W2549935064', 'W2131945558', 'W2018286352', 'W1553983967', 'W2953365051', 'W3093246326', 'W2048644480', 'W3019035977', 'W2993816101', 'W3016374409', 'W3126409965', 'W1862832045', 'W2887331259', 'W6773183609', 'W6653106154', 'W2056177992', 'W2522174175', 'W1982130586', 'W2959830553', 'W2344920256', 'W2521121173', 'W2560714653', 'W2568275076', 'W2007034511', 'W2503929286', 'W2023652080', 'W2607294442', 'W2057431271', 'W1594747697', 'W2559702793', 'W6779653140', 'W2977759181', 'W3000101741', 'W2291957660', 'W4251359871', 'W2897195504', 'W2064050638', 'W3132709010', 'W6799659180', 'W4220840817', 'W3108760242', 'W2741286864', 'W3111725926', 'W2548288313', 'W2893955447', 'W1646577443', 'W2762018708', 'W2463753610', 'W2017887802', 'W2068165326', 'W2095650608', 'W2144750363', 'W2033506542', 'W2801353301', 'W2295454854', 'W2052935503', 'W2479769265', 'W3047385157', 'W2147800368', 'W2747850876', 'W3001828248', 'W4283076079', 'W3034971061', 'W2010294852']",0,79,0,[],[],[],[],[],['Scherzer'],0.9968380201897072,0.0,2025-10-10,2024-02-01
29,3D Bioprinting of Human Neural Tissues with Functional Connectivity | bioRxiv,Scherzer,10.1101/2024.01.18.576289,10.1016/j.stem.2023.12.009,before_doi_tracker,2024-02-09 00:00:00,before_doi_tracker,google_alert,1,,1.0,1,,,W4391450102,A5067787152,['Yuanwei Yan'],,,[],No,"['W2735004254', 'W2897058286', 'W2593787260', 'W2126231259', 'W2765609903', 'W2088422474', 'W2549935064', 'W2131945558', 'W2018286352', 'W1553983967', 'W2953365051', 'W3093246326', 'W2048644480', 'W3019035977', 'W2993816101', 'W3016374409', 'W3126409965', 'W1862832045', 'W2887331259', 'W6773183609', 'W6653106154', 'W2056177992', 'W2522174175', 'W1982130586', 'W2959830553', 'W2344920256', 'W2521121173', 'W2560714653', 'W2568275076', 'W2007034511', 'W2503929286', 'W2023652080', 'W2607294442', 'W2057431271', 'W1594747697', 'W2559702793', 'W6779653140', 'W2977759181', 'W3000101741', 'W2291957660', 'W4251359871', 'W2897195504', 'W2064050638', 'W3132709010', 'W6799659180', 'W4220840817', 'W3108760242', 'W2741286864', 'W3111725926', 'W2548288313', 'W2893955447', 'W1646577443', 'W2762018708', 'W2463753610', 'W2017887802', 'W2068165326', 'W2095650608', 'W2144750363', 'W2033506542', 'W2801353301', 'W2295454854', 'W2052935503', 'W2479769265', 'W3047385157', 'W2147800368', 'W2747850876', 'W3001828248', 'W4283076079', 'W3034971061', 'W2010294852']",0,79,0,[],[],[],[],[],['Scherzer'],0.9968370525329256,0.0,2025-10-10,2024-02-01
29,3D Bioprinting of Human Neural Tissues with Functional Connectivity | bioRxiv,Scherzer,10.1101/2024.01.18.576289,10.1016/j.stem.2023.12.009,before_doi_tracker,2024-02-09 00:00:00,before_doi_tracker,google_alert,1,,1.0,1,,,W4391450102,A5067787152,['Yuanwei Yan'],,,[],No,"['W2735004254', 'W2897058286', 'W2593787260', 'W2126231259', 'W2765609903', 'W2088422474', 'W2549935064', 'W2131945558', 'W2018286352', 'W1553983967', 'W2953365051', 'W3093246326', 'W2048644480', 'W3019035977', 'W2993816101', 'W3016374409', 'W3126409965', 'W1862832045', 'W2887331259', 'W6773183609', 'W6653106154', 'W2056177992', 'W2522174175', 'W1982130586', 'W2959830553', 'W2344920256', 'W2521121173', 'W2560714653', 'W2568275076', 'W2007034511', 'W2503929286', 'W2023652080', 'W2607294442', 'W2057431271', 'W1594747697', 'W2559702793', 'W6779653140', 'W2977759181', 'W3000101741', 'W2291957660', 'W4251359871', 'W2897195504', 'W2064050638', 'W3132709010', 'W6799659180', 'W4220840817', 'W3108760242', 'W2741286864', 'W3111725926', 'W2548288313', 'W2893955447', 'W1646577443', 'W2762018708', 'W2463753610', 'W2017887802', 'W2068165326', 'W2095650608', 'W2144750363', 'W2033506542', 'W2801353301', 'W2295454854', 'W2052935503', 'W2479769265', 'W3047385157', 'W2147800368', 'W2747850876', 'W3001828248', 'W4283076079', 'W3034971061', 'W2010294852']",0,79,0,[],[],[],[],[],['Scherzer'],0.996837955679255,0.0,2025-10-10,2024-02-01
40,Comprehensive structural variant detection: From mosaic to population-level,Voet,10.1101/2022.04.04.487055,10.1038/s41587-023-02024-y,before_doi_tracker,2024-02-09 00:00:00,before_doi_tracker,hub,1,,1.0,1,,,W4390500910,A5013657567,['Moritz Smolka'],0000-0002-8621-600X,,[],No,"['W2990344913', 'W6770662217', 'W2986448893', 'W3040639338', 'W3036928921', 'W2943462671', 'W2289509647', 'W2918205890', 'W2909662798', 'W7073909791', 'W3097785014', 'W2340633221', 'W3114543324', 'W3199589737', 'W2991213986', 'W3083468523', 'W2766209631', 'W4223637843', 'W3004584205', 'W3135714499', 'W3130788486', 'W2297084330', 'W2952870794', 'W2756518443', 'W2949062400', 'W2794879929', 'W3164211868', 'W2990369002', 'W3162917414', 'W2968499116', 'W3022783334', 'W4317889970', 'W4316369218', 'W4386741473', 'W2741819837', 'W2950121474', 'W3199386036', 'W4205511747', 'W4220927627', 'W4210887696', 'W2130929529', 'W2056657560', 'W1968206926', 'W2165978081', 'W2065410176', 'W2106360880', 'W2914750035', 'W3044323112', 'W2614974832', 'W2809070229', 'W2996708502', 'W3046016870', 'W2236083456', 'W3041828825', 'W2977192820', 'W3046401484', 'W2951764279', 'W4313250582', 'W3034581902', 'W2946315030', 'W2972274962', 'W3026616767', 'W3131055609', 'W6788212595', 'W2582800429', 'W3085108261', 'W3038852438', 'W4287448803', 'W1981749204', 'W2235737683', 'W2152956782', 'W3043939861', 'W4381252065', 'W2124369314', 'W3202634790', 'W2950006249', 'W2779975541', 'W4224278121', 'W2029641872', 'W2114850508', 'W4394666350', 'W3092782583', 'W4289515190', 'W4226474567', 'W4221001901']",0,303,80,[],"['Voet', 'Hardy', 'Rio', 'Schapira']",[],[],[],['Voet'],0.9998641409878511,0.0,2025-10-10,2024-01-02
40,Comprehensive structural variant detection: From mosaic to population-level,Voet,10.1101/2022.04.04.487055,10.1038/s41587-023-02024-y,before_doi_tracker,2024-02-09 00:00:00,before_doi_tracker,hub,1,,1.0,1,,,W4390500910,A5013657567,['Moritz Smolka'],0000-0002-8621-600X,,[],No,"['W2990344913', 'W6770662217', 'W2986448893', 'W3040639338', 'W3036928921', 'W2943462671', 'W2289509647', 'W2918205890', 'W2909662798', 'W7073909791', 'W3097785014', 'W2340633221', 'W3114543324', 'W3199589737', 'W2991213986', 'W3083468523', 'W2766209631', 'W4223637843', 'W3004584205', 'W3135714499', 'W3130788486', 'W2297084330', 'W2952870794', 'W2756518443', 'W2949062400', 'W2794879929', 'W3164211868', 'W2990369002', 'W3162917414', 'W2968499116', 'W3022783334', 'W4317889970', 'W4316369218', 'W4386741473', 'W2741819837', 'W2950121474', 'W3199386036', 'W4205511747', 'W4220927627', 'W4210887696', 'W2130929529', 'W2056657560', 'W1968206926', 'W2165978081', 'W2065410176', 'W2106360880', 'W2914750035', 'W3044323112', 'W2614974832', 'W2809070229', 'W2996708502', 'W3046016870', 'W2236083456', 'W3041828825', 'W2977192820', 'W3046401484', 'W2951764279', 'W4313250582', 'W3034581902', 'W2946315030', 'W2972274962', 'W3026616767', 'W3131055609', 'W6788212595', 'W2582800429', 'W3085108261', 'W3038852438', 'W4287448803', 'W1981749204', 'W2235737683', 'W2152956782', 'W3043939861', 'W4381252065', 'W2124369314', 'W3202634790', 'W2950006249', 'W2779975541', 'W4224278121', 'W2029641872', 'W2114850508', 'W4394666350', 'W3092782583', 'W4289515190', 'W4226474567', 'W4221001901']",0,303,80,[],"['Voet', 'Hardy', 'Rio', 'Schapira']",[],[],[],['Voet'],0.9998642054983032,0.0,2025-10-10,2024-01-02
40,Comprehensive structural variant detection: From mosaic to population-level,Voet,10.1101/2022.04.04.487055,10.1038/s41587-023-02024-y,before_doi_tracker,2024-02-09 00:00:00,before_doi_tracker,hub,1,,1.0,1,,,W4390500910,A5013657567,['Moritz Smolka'],0000-0002-8621-600X,,[],No,"['W2990344913', 'W6770662217', 'W2986448893', 'W3040639338', 'W3036928921', 'W2943462671', 'W2289509647', 'W2918205890', 'W2909662798', 'W7073909791', 'W3097785014', 'W2340633221', 'W3114543324', 'W3199589737', 'W2991213986', 'W3083468523', 'W2766209631', 'W4223637843', 'W3004584205', 'W3135714499', 'W3130788486', 'W2297084330', 'W2952870794', 'W2756518443', 'W2949062400', 'W2794879929', 'W3164211868', 'W2990369002', 'W3162917414', 'W2968499116', 'W3022783334', 'W4317889970', 'W4316369218', 'W4386741473', 'W2741819837', 'W2950121474', 'W3199386036', 'W4205511747', 'W4220927627', 'W4210887696', 'W2130929529', 'W2056657560', 'W1968206926', 'W2165978081', 'W2065410176', 'W2106360880', 'W2914750035', 'W3044323112', 'W2614974832', 'W2809070229', 'W2996708502', 'W3046016870', 'W2236083456', 'W3041828825', 'W2977192820', 'W3046401484', 'W2951764279', 'W4313250582', 'W3034581902', 'W2946315030', 'W2972274962', 'W3026616767', 'W3131055609', 'W6788212595', 'W2582800429', 'W3085108261', 'W3038852438', 'W4287448803', 'W1981749204', 'W2235737683', 'W2152956782', 'W3043939861', 'W4381252065', 'W2124369314', 'W3202634790', 'W2950006249', 'W2779975541', 'W4224278121', 'W2029641872', 'W2114850508', 'W4394666350', 'W3092782583', 'W4289515190', 'W4226474567', 'W4221001901']",0,303,80,[],"['Voet', 'Hardy', 'Rio', 'Schapira']",[],[],[],['Voet'],0.9998631733310694,0.0,2025-10-10,2024-01-02
