,WorkOpenAlex_ID,PersonOpenAlex_ID,PersonName,PersonOrcid,Role,Team,IsCorrespondingAuthor
0,W4391629214,A5028861095,Shanlin Rao,0000-0003-4892-5523,,,No
1,W4391629214,A5071900726,Lisa Strong,0000-0002-4293-8131,,,No
2,W4391629214,A5041244181,Xuefeng Ren,0000-0002-4822-4316,Key Personnel,Hurley,No
3,W4391629214,A5033276727,Marvin Skulsuppaisarn,0000-0003-4041-7014,,,No
4,W4391629214,A5061877082,Michael Lazarou,0000-0003-2150-5545,Co-PI,Hurley,Yes
5,W4391629214,A5061450716,James Hurley,0000-0001-5054-5445,Lead PI,Hurley,Yes
6,W4391629214,A5059945365,Gerhard Hummer,0000-0001-7768-746X,Paid Collaborator,Hurley,Yes
7,W4390345401,A5031512056,Jonggeol Kim,0000-0003-0738-0512,,,Yes
8,W4390345401,A5086171207,Dan Vitale,0000-0002-0637-3671,,,No
9,W4390345401,A5093603169,Diego Otani,,,,No
10,W4390345401,A5067211090,Michelle Lian,0000-0001-6881-2660,,,No
11,W4390345401,A5061729724,Karl Heilbron,0000-0003-4776-1723,,,No
12,W4390345401,A5091001932,Hirotaka Iwaki,0000-0002-8982-7885,,,No
13,W4390345401,A5005520962,Julie Lake,0000-0002-3441-2455,,,No
14,W4390345401,A5112635533,Caroline Solsberg,,,,No
15,W4390345401,A5033284534,Hampton Leonard,0000-0003-2390-8110,,,No
16,W4390345401,A5046196836,Mary Makarious,0000-0002-7978-1051,,,No
17,W4390345401,A5048549659,Eng‐King Tan,0000-0003-2977-9743,,,No
18,W4390345401,A5100694605,Andrew Singleton,0000-0001-5606-700X,,,No
19,W4390345401,A5042119624,Sara Bandrés‐Ciga,0000-0003-0056-1361,,,No
20,W4390345401,A5052101031,Alastair Noyce,0000-0003-3027-5497,,,No
21,W4390345401,A5072627174,Cornelis Blauwendraat,0000-0001-9358-8111,,,No
22,W4390345401,A5113839983,Mike Nalls,,,,No
23,W4390345401,A5037134358,Jia Foo,0000-0001-9899-2308,,,No
24,W4390345401,A5041851834,Ignácio Mata,0000-0003-1198-0633,,,No
25,W4391841711,A5002959610,V. Inavalli,0000-0002-7100-0214,,,No
26,W4391841711,A5076027069,Virginia Puente‐Muñoz,0000-0002-4860-9312,,,No
27,W4391841711,A5047796812,Jonathan Draffin,0000-0002-1686-8504,Key personnel,Vila,No
28,W4391841711,A5023479832,Jan Tønnesen,0000-0003-3663-8463,Collaborator,Vila,No
29,W4391450102,A5067787152,Yuanwei Yan,,,,No
30,W4391450102,A5100381619,Xueyan Li,0000-0002-7551-0502,,,No
31,W4391450102,A5004535291,Yu Gao,0000-0001-5090-8250,,,No
32,W4391450102,A5002377995,Sakthikumar Mathivanan,0000-0002-6647-8774,Key Personnel,Scherzer,No
33,W4391450102,A5054021355,Linghai Kong,0000-0002-8015-5971,,,No
34,W4391450102,A5004034878,Yunlong Tao,0000-0003-0377-7133,,,No
35,W4391450102,A5082505578,Yi Dong,0000-0001-9898-9571,,,No
36,W4391450102,A5100331057,Xiang Li,0000-0002-4916-524X,,,No
37,W4391450102,A5014311864,Anita Bhattacharyya,0000-0002-0360-7145,,,No
38,W4391450102,A5100709184,Xinyu Zhao,0000-0002-5128-4424,,,No
39,W4391450102,A5101605512,Su‐Chun Zhang,,,,No
40,W4390500910,A5013657567,Moritz Smolka,0000-0002-8621-600X,,,No
41,W4390500910,A5008831442,Luis Paulin,0000-0003-2567-3773,,,No
42,W4390500910,A5002204513,Christopher Grochowski,0000-0002-3884-7720,,,No
43,W4390500910,A5102910372,Dominic Horner,0009-0002-1988-3838,,,No
44,W4390500910,A5039165370,Medhat Mahmoud,0000-0002-2553-4231,,,No
45,W4390500910,A5011002061,Sairam Behera,0000-0002-9047-0203,,,No
46,W4390500910,A5000508972,Ester Kalef-Ezra,0000-0002-1297-3315,,,No
47,W4390500910,A5027933156,Mira Gandhi,,,,No
48,W4390500910,A5051804968,Karl Hong,0000-0002-2821-8437,,,No
49,W4390500910,A5023261072,Davut Pehli̇van,0000-0001-5788-0270,,,No
50,W4390500910,A5046814636,Sonja Scholz,0000-0002-6623-0429,,,No
51,W4390500910,A5083240572,Claudia Carvalho,0000-0002-2090-298X,,,No
52,W4390500910,A5012157016,Christos Proukakis,0000-0001-6423-6539,Co-PI,Voet,No
53,W4390500910,A5037440162,Fritz Sedlazeck,0000-0001-6040-2691,Collaborating PI,Voet,No
