,ZenodoOpenAlex_ID,PersonOpenAlex_ID,PersonName,PersonOrcid
0,W4393681028,A5091866133,Hankum Park,0000-0001-5795-3249
1,W4393681028,A5040242042,Qing Yu,0000-0003-0468-5353
2,W4393681028,A5079127441,Frances Hundley,0000-0001-9469-301X
3,W4393681028,A5010446056,Katherine Overmyer,0000-0002-1929-1229
4,W4393681028,A5037217891,Lia Serrano,0000-0001-5662-5884
5,W4393681028,A5026734370,João Paulo,0000-0002-4291-413X
6,W4393681028,A5023479457,Julia Paoli,0000-0001-8266-1766
7,W4393681028,A5035448367,Sharan Swarup,0000-0003-0226-5582
8,W4393681028,A5086840789,Joshua Coon,0000-0002-0004-8253
9,W4393681028,A5079793809,Steven Gygi,0000-0001-7626-0034
10,W4393681028,A5047746208,J. Harper,0000-0002-6944-7236
11,,,nan,
12,,,nan,
13,W4393570042,A5101764645,Tae‐Un Han,0000-0002-0287-0160
14,W4393826560,A5100762075,Xinbo Wang,0000-0001-8524-9662
15,W4393826560,A5090536824,Javier Espadas,0000-0002-4559-5410
16,W4393826560,A5004727785,Yumei Wu,0000-0003-0878-7605
17,W4393826560,A5040142346,Shujun Cai,0000-0002-8558-6279
18,W4393826560,A5060299931,Jinghua Ge,0000-0002-5820-1521
19,W4393826560,A5026423769,Lin Shao,0000-0002-1905-4442
20,W4393826560,A5017325892,Aurélien Roux,0000-0002-6088-0711
21,W4393826560,A5037459294,Pietro Camilli,0000-0001-9045-0723
22,,,nan,
23,,,nan,
24,,,nan,
25,W4394021969,A5077060611,Rekha Dhanwani,0000-0002-6592-8657
26,W4394021969,A5057542377,João Lima-Júnior,
27,W4394021969,A5109476794,Ashu Sethi,
28,W4394021969,A5114235233,John Pham,0009-0001-8995-0840
29,W4394021969,A5046678361,Gregory Williams,0000-0001-9523-1781
30,W4394021969,A5044515449,April Frazier,0000-0002-4722-7304
31,W4394021969,A5075915109,Yaqian Xu,0000-0001-5890-3446
32,W4394021969,A5067845430,Amy Amara,0000-0003-0762-9656
33,W4394021969,A5000374325,David Standaert,0000-0003-2921-8348
34,W4394021969,A5061596611,Jennifer Goldman,0000-0001-5014-7535
35,W4394021969,A5006709022,Irene Litvan,0000-0002-3485-3445
36,W4394021969,A5037098776,Roy Alcalay,0000-0002-5717-4875
37,W4394021969,A5023547268,Bjoern Peters,0000-0002-8457-6693
38,W4394021969,A5026787858,David Sulzer,0000-0001-7632-0439
39,W4394021969,A5066674783,Cecilia Arlehamn,0000-0001-7302-8002
40,W4394021969,A5010966529,Alessandro Sette,0000-0001-7013-2250
41,W4393446757,A5101764122,Shweta Jain,0000-0001-9716-7453
42,W4393446757,A5027616900,Robert Edwards,0000-0002-8650-3260
43,W4394055139,A5094306339,Lis Pawel,
44,W4393893587,A5046678361,Gregory Williams,0000-0001-9523-1781
45,W4393893587,A5052801583,Kaylin Muskat,
46,W4393893587,A5044515449,April Frazier,0000-0002-4722-7304
47,W4393893587,A5075915109,Yaqian Xu,0000-0001-5890-3446
48,W4393893587,A5063444034,José Mateus,0000-0002-1402-3452
49,W4393893587,A5083647614,Alba Grifoni,0000-0002-0369-1746
50,W4393893587,A5075614639,Ricardo Antunes,0000-0001-9785-5272
51,W4393893587,A5071431150,Daniela Weiskopf,0000-0003-2968-7371
52,W4393893587,A5067845430,Amy Amara,0000-0003-0762-9656
53,W4393893587,A5000374325,David Standaert,0000-0003-2921-8348
54,W4393893587,A5061596611,Jennifer Goldman,0000-0001-5014-7535
55,W4393893587,A5006709022,Irene Litvan,0000-0002-3485-3445
56,W4393893587,A5037098776,Roy Alcalay,0000-0002-5717-4875
57,W4393893587,A5026787858,David Sulzer,0000-0001-7632-0439
