Title,team,doi_pre,doi_pub,date_added_preprint,date_added_publication,source_preprint,source_publication,original,notes,Preprint in SF tracker,publication in SF tracker,apc_amount,apc_status,OpenAlex_ID
"Three-step docking by WIPI2, ATG16L1 and ATG3 delivers LC3 to the phagophore",Hurley,10.1101/2023.07.17.549391,10.1126/sciadv.adj8027,before_doi_tracker,2024-02-07 00:00:00,before_doi_tracker,other(email to DS),1,,1.0,1,4500.0,Paid,W4391629214
Multi-ancestry genome-wide meta-analysis in Parkinson’s disease,GP2,10.1101/2022.08.04.22278432,10.1038/s41588-023-01584-8,before_doi_tracker,2024-02-07 00:00:00,before_doi_tracker,other(gp2_blog),1,,1.0,1,,,W4390345401
Fluorescence Microscopy Shadow Imaging for Neuroscience,Vila,review,10.3389/fncel.2024.1330100,NA_review,2024-02-07 00:00:00,NA_review,hub,0,,,,3295.0,Paid,W4391841711
3D Bioprinting of Human Neural Tissues with Functional Connectivity | bioRxiv,Scherzer,10.1101/2024.01.18.576289,10.1016/j.stem.2023.12.009,before_doi_tracker,2024-02-09 00:00:00,before_doi_tracker,google_alert,1,,1.0,1,,,W4391450102
Comprehensive structural variant detection: From mosaic to population-level,Voet,10.1101/2022.04.04.487055,10.1038/s41587-023-02024-y,before_doi_tracker,2024-02-09 00:00:00,before_doi_tracker,hub,1,,1.0,1,,,W4390500910
CURTAIN – A Unique Web-based tool for exploration and sharing of MS-based proteomics data | bioRxiv,Alessi,10.1101/2023.07.25.550405,10.1073/pnas.2312676121,before_doi_tracker,2024-02-09 00:00:00,before_doi_tracker,hub,1,,1.0,1,,,W4391594220
"Endoplasmic Reticulum Membrane Contact Sites, Lipid Transport, and Neurodegeneration",De Camilli,NA review,10.1101/cshperspect.a041257,,2024-02-12 00:00:00,NA_review,Catalog review by DS. In Catalog but not on the Hub,0,,,,,,W4296290327
Gut instincts in neuroimmunity from the eighteenth to twenty-first centuries,Hafler,NA Review,10.1007/s00281-022-00948-2,,2024-02-12 00:00:00,NA_review,Catalog review by DS. In Catalog but not on the Hub,0,,,,,,W4283796233
Gut microbiome-mediated regulation of neuroinflammation,Sulzer,NA Review,10.1016/j.coi.2022.102177,,2024-02-12 00:00:00,NA_review,Catalog review by DS. In Catalog but not on the Hub,0,,,,,,W4224232095
Cellular senescence: a key therapeutic target in aging and diseases,Lee,NA review,10.1172/JCI158450,,2024-02-12 00:00:00,NA_review,Catalog review by DS. Not on the Hub,0,,,,,,W4289028880
Delivery of RNA Therapeutics: The Great Endosomal Escape!,Mobley,NA review,10.1089/nat.2022.0004,,2024-02-12 00:00:00,NA_review,hub,0,,,,,,W4281486640
"Immune Senescence, Immunosenescence and Aging",Lee,NA Review,10.3389/fragi.2022.900028,,2024-02-14 00:00:00,NA_review,Catalog review by DS. Not on the Hub,0,,,,,,W4281680618
